 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\C8_Si.txt

 Ion = Carbon [6] , Mass = 8.0376 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 600.00 MeV   2.564E-01  1.036E-04    5.66 mm   233.52 um    75.88 um  
 650.00 MeV   2.412E-01  9.632E-05    6.53 mm   264.33 um    87.09 um  
 700.00 MeV   2.281E-01  9.004E-05    7.45 mm   295.17 um    98.92 um  
 800.00 MeV   2.066E-01  7.973E-05    9.43 mm   408.56 um   124.33 um  
 900.00 MeV   1.895E-01  7.161E-05   11.61 mm   512.91 um   151.96 um  
   1.00 GeV   1.757E-01  6.505E-05   13.97 mm   613.40 um   181.67 um  
   1.10 GeV   1.643E-01  5.963E-05   16.50 mm   712.03 um   213.32 um  
   1.20 GeV   1.546E-01  5.507E-05   19.21 mm   809.74 um   246.78 um  
   1.30 GeV   1.464E-01  5.118E-05   22.07 mm   907.01 um   281.96 um  
   1.40 GeV   1.394E-01  4.782E-05   25.08 mm     1.00 mm   318.74 um  
   1.50 GeV   1.332E-01  4.490E-05   28.24 mm     1.10 mm   357.02 um  
   1.60 GeV   1.278E-01  4.232E-05   31.54 mm     1.20 mm   396.73 um  
   1.70 GeV   1.229E-01  4.003E-05   34.98 mm     1.30 mm   437.77 um  
   1.80 GeV   1.186E-01  3.799E-05   38.55 mm     1.39 mm   480.07 um  
   2.00 GeV   1.113E-01  3.449E-05   46.04 mm     1.75 mm   568.18 um  
   2.25 GeV   1.039E-01  3.095E-05   56.05 mm     2.26 mm   684.19 um  
   2.50 GeV   9.804E-02  2.809E-05   66.72 mm     2.72 mm   805.86 um  
   2.75 GeV   9.320E-02  2.573E-05   77.99 mm     3.16 mm   932.39 um  
   3.00 GeV   8.918E-02  2.375E-05   89.80 mm     3.58 mm     1.06 mm  
   3.25 GeV   8.578E-02  2.207E-05  102.11 mm     3.99 mm     1.20 mm  
   3.50 GeV   8.288E-02  2.061E-05  114.88 mm     4.38 mm     1.33 mm  
   3.75 GeV   8.039E-02  1.934E-05  128.07 mm     4.77 mm     1.47 mm  
   4.00 GeV   7.821E-02  1.822E-05  141.65 mm     5.15 mm     1.62 mm  
   4.50 GeV   7.464E-02  1.635E-05  169.84 mm     6.52 mm     1.91 mm  
   5.00 GeV   7.183E-02  1.483E-05  199.25 mm     7.74 mm     2.20 mm  
   5.50 GeV   6.958E-02  1.358E-05  229.72 mm     8.87 mm     2.50 mm  
   6.00 GeV   6.775E-02  1.253E-05  261.08 mm     9.93 mm     2.80 mm  
   6.50 GeV   6.625E-02  1.164E-05  293.23 mm    10.93 mm     3.10 mm  
   7.00 GeV   6.500E-02  1.086E-05  326.05 mm    11.89 mm     3.40 mm  
   8.00 GeV   6.307E-02  9.601E-06  393.33 mm    15.24 mm     3.99 mm  
   9.00 GeV   6.167E-02  8.608E-06  462.40 mm    18.12 mm     4.58 mm  
  10.00 GeV   6.065E-02  7.807E-06  532.83 mm    20.69 mm     5.16 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  8.9010E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
