 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\5Li_Si.txt

 Ion = Lithium [3] , Mass = 5.0125 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  90.00 MeV   1.993E-01  9.739E-05    1.10 mm    48.79 um    20.87 um  
 100.00 MeV   1.834E-01  8.858E-05    1.33 mm    58.55 um    24.95 um  
 110.00 MeV   1.701E-01  8.129E-05    1.57 mm    68.25 um    29.34 um  
 120.00 MeV   1.588E-01  7.516E-05    1.83 mm    77.99 um    34.04 um  
 130.00 MeV   1.491E-01  6.992E-05    2.11 mm    87.81 um    39.04 um  
 140.00 MeV   1.406E-01  6.540E-05    2.41 mm    97.75 um    44.32 um  
 150.00 MeV   1.331E-01  6.144E-05    2.72 mm   107.82 um    49.89 um  
 160.00 MeV   1.265E-01  5.796E-05    3.06 mm   118.03 um    55.75 um  
 170.00 MeV   1.206E-01  5.487E-05    3.40 mm   128.38 um    61.87 um  
 180.00 MeV   1.153E-01  5.210E-05    3.77 mm   138.87 um    68.27 um  
 200.00 MeV   1.062E-01  4.735E-05    4.55 mm   178.16 um    81.86 um  
 225.00 MeV   9.679E-02  4.255E-05    5.61 mm   234.19 um   100.30 um  
 250.00 MeV   8.916E-02  3.867E-05    6.77 mm   287.07 um   120.29 um  
 275.00 MeV   8.280E-02  3.546E-05    8.02 mm   338.67 um   141.78 um  
 300.00 MeV   7.742E-02  3.276E-05    9.37 mm   389.82 um   164.70 um  
 325.00 MeV   7.281E-02  3.046E-05   10.80 mm   440.93 um   189.02 um  
 350.00 MeV   6.880E-02  2.847E-05   12.32 mm   492.23 um   214.69 um  
 375.00 MeV   6.530E-02  2.674E-05   13.93 mm   543.85 um   241.68 um  
 400.00 MeV   6.219E-02  2.521E-05   15.61 mm   595.87 um   269.93 um  
 450.00 MeV   5.696E-02  2.264E-05   19.23 mm   788.84 um   330.11 um  
 500.00 MeV   5.270E-02  2.056E-05   23.16 mm   968.56 um   394.94 um  
 550.00 MeV   4.918E-02  1.884E-05   27.39 mm     1.14 mm   464.18 um  
 600.00 MeV   4.620E-02  1.740E-05   31.91 mm     1.31 mm   537.57 um  
 650.00 MeV   4.366E-02  1.617E-05   36.70 mm     1.48 mm   614.90 um  
 700.00 MeV   4.146E-02  1.511E-05   41.76 mm     1.65 mm   695.97 um  
 800.00 MeV   3.785E-02  1.337E-05   52.63 mm     2.26 mm   868.61 um  
 900.00 MeV   3.501E-02  1.200E-05   64.46 mm     2.82 mm     1.05 mm  
   1.00 GeV   3.271E-02  1.089E-05   77.19 mm     3.36 mm     1.25 mm  
   1.10 GeV   3.082E-02  9.977E-06   90.75 mm     3.88 mm     1.46 mm  
   1.20 GeV   2.923E-02  9.210E-06  105.09 mm     4.39 mm     1.68 mm  
   1.30 GeV   2.789E-02  8.555E-06  120.18 mm     4.89 mm     1.90 mm  
   1.40 GeV   2.673E-02  7.991E-06  135.95 mm     5.38 mm     2.13 mm  
   1.50 GeV   2.572E-02  7.499E-06  152.37 mm     5.88 mm     2.38 mm  
   1.60 GeV   2.484E-02  7.066E-06  169.41 mm     6.36 mm     2.62 mm  
   1.70 GeV   2.406E-02  6.681E-06  187.02 mm     6.85 mm     2.88 mm  
   1.80 GeV   2.337E-02  6.338E-06  205.18 mm     7.33 mm     3.13 mm  
   2.00 GeV   2.220E-02  5.751E-06  243.00 mm     9.09 mm     3.66 mm  
   2.25 GeV   2.103E-02  5.158E-06  292.83 mm    11.53 mm     4.35 mm  
   2.50 GeV   2.011E-02  4.679E-06  345.19 mm    13.73 mm     5.05 mm  
   2.75 GeV   1.936E-02  4.284E-06  399.76 mm    15.78 mm     5.77 mm  
   3.00 GeV   1.875E-02  3.953E-06  456.27 mm    17.72 mm     6.49 mm  
   3.25 GeV   1.824E-02  3.671E-06  514.50 mm    19.57 mm     7.23 mm  
   3.50 GeV   1.781E-02  3.427E-06  574.24 mm    21.34 mm     7.97 mm  
   3.75 GeV   1.744E-02  3.215E-06  635.33 mm    23.06 mm     8.71 mm  
   4.00 GeV   1.713E-02  3.028E-06  697.61 mm    24.71 mm     9.45 mm  
   4.50 GeV   1.663E-02  2.715E-06  825.20 mm    30.65 mm    10.93 mm  
   5.00 GeV   1.625E-02  2.462E-06  956.20 mm    35.86 mm    12.40 mm  
   5.50 GeV   1.596E-02  2.253E-06    1.09 m     40.59 mm    13.85 mm  
   6.00 GeV   1.573E-02  2.078E-06    1.23 m     44.96 mm    15.28 mm  
   6.50 GeV   1.556E-02  1.929E-06    1.36 m     49.04 mm    16.68 mm  
   7.00 GeV   1.542E-02  1.801E-06    1.50 m     52.88 mm    18.07 mm  
