 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_Si.txt

 Ion = Helium [2] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   1.397E-01  7.345E-05  531.40 um    22.11 um    13.74 um  
  32.50 MeV   1.314E-01  6.838E-05  610.78 um    24.98 um    15.68 um  
  35.00 MeV   1.240E-01  6.400E-05  695.03 um    27.88 um    17.74 um  
  37.50 MeV   1.176E-01  6.017E-05  784.08 um    30.80 um    19.90 um  
  40.00 MeV   1.118E-01  5.679E-05  877.88 um    33.77 um    22.17 um  
  45.00 MeV   1.020E-01  5.110E-05    1.08 mm    44.60 um    27.02 um  
  50.00 MeV   9.390E-02  4.649E-05    1.30 mm    54.81 um    32.28 um  
  55.00 MeV   8.713E-02  4.267E-05    1.54 mm    64.78 um    37.94 um  
  60.00 MeV   8.137E-02  3.946E-05    1.79 mm    74.68 um    43.98 um  
  65.00 MeV   7.640E-02  3.671E-05    2.07 mm    84.60 um    50.41 um  
  70.00 MeV   7.207E-02  3.434E-05    2.36 mm    94.59 um    57.21 um  
  80.00 MeV   6.486E-02  3.044E-05    2.98 mm   130.95 um    71.90 um  
  90.00 MeV   5.911E-02  2.737E-05    3.68 mm   164.86 um    88.00 um  
 100.00 MeV   5.441E-02  2.488E-05    4.44 mm   197.93 um   105.47 um  
 110.00 MeV   5.048E-02  2.283E-05    5.26 mm   230.81 um   124.26 um  
 120.00 MeV   4.715E-02  2.109E-05    6.14 mm   263.81 um   144.35 um  
 130.00 MeV   4.428E-02  1.962E-05    7.08 mm   297.09 um   165.69 um  
 140.00 MeV   4.179E-02  1.834E-05    8.08 mm   330.73 um   188.25 um  
 150.00 MeV   3.961E-02  1.723E-05    9.14 mm   364.79 um   212.00 um  
 160.00 MeV   3.768E-02  1.625E-05   10.26 mm   399.29 um   236.92 um  
 170.00 MeV   3.595E-02  1.537E-05   11.42 mm   434.24 um   262.98 um  
 180.00 MeV   3.440E-02  1.459E-05   12.65 mm   469.65 um   290.14 um  
 200.00 MeV   3.173E-02  1.326E-05   15.25 mm   601.01 um   347.74 um  
 225.00 MeV   2.902E-02  1.191E-05   18.80 mm   787.76 um   425.57 um  
 250.00 MeV   2.681E-02  1.082E-05   22.66 mm   963.52 um   509.60 um  
 275.00 MeV   2.498E-02  9.917E-06   26.82 mm     1.13 mm   599.50 um  
 300.00 MeV   2.343E-02  9.159E-06   31.26 mm     1.30 mm   695.01 um  
 325.00 MeV   2.210E-02  8.512E-06   35.99 mm     1.47 mm   795.86 um  
 350.00 MeV   2.096E-02  7.954E-06   40.99 mm     1.64 mm   901.81 um  
 375.00 MeV   1.995E-02  7.467E-06   46.25 mm     1.81 mm     1.01 mm  
 400.00 MeV   1.907E-02  7.039E-06   51.77 mm     1.98 mm     1.13 mm  
 450.00 MeV   1.758E-02  6.318E-06   63.52 mm     2.60 mm     1.37 mm  
 500.00 MeV   1.638E-02  5.736E-06   76.21 mm     3.17 mm     1.63 mm  
 550.00 MeV   1.538E-02  5.256E-06   89.77 mm     3.72 mm     1.91 mm  
 600.00 MeV   1.455E-02  4.852E-06  104.16 mm     4.26 mm     2.20 mm  
 650.00 MeV   1.383E-02  4.508E-06  119.33 mm     4.79 mm     2.50 mm  
 700.00 MeV   1.322E-02  4.211E-06  135.24 mm     5.31 mm     2.81 mm  
 800.00 MeV   1.222E-02  3.724E-06  169.12 mm     7.18 mm     3.47 mm  
 900.00 MeV   1.144E-02  3.341E-06  205.54 mm     8.87 mm     4.17 mm  
   1.00 GeV   1.081E-02  3.031E-06  244.26 mm    10.46 mm     4.90 mm  
   1.10 GeV   1.030E-02  2.776E-06  285.07 mm    11.98 mm     5.65 mm  
   1.20 GeV   9.869E-03  2.562E-06  327.78 mm    13.45 mm     6.43 mm  
   1.30 GeV   9.509E-03  2.379E-06  372.22 mm    14.89 mm     7.22 mm  
   1.40 GeV   9.203E-03  2.222E-06  418.24 mm    16.29 mm     8.03 mm  
   1.50 GeV   8.939E-03  2.085E-06  465.71 mm    17.66 mm     8.86 mm  
   1.60 GeV   8.710E-03  1.964E-06  514.50 mm    19.00 mm     9.69 mm  
   1.70 GeV   8.510E-03  1.857E-06  564.50 mm    20.32 mm    10.54 mm  
   1.80 GeV   8.334E-03  1.761E-06  615.62 mm    21.61 mm    11.39 mm  
   2.00 GeV   8.039E-03  1.597E-06  720.83 mm    26.32 mm    13.10 mm  
   2.25 GeV   7.753E-03  1.432E-06  857.18 mm    32.71 mm    15.26 mm  
   2.50 GeV   7.533E-03  1.299E-06  998.04 mm    38.39 mm    17.42 mm  
   2.75 GeV   7.360E-03  1.189E-06    1.14 m     43.58 mm    19.58 mm  
   3.00 GeV   7.222E-03  1.097E-06    1.29 m     48.41 mm    21.72 mm  
   3.25 GeV   7.112E-03  1.018E-06    1.44 m     52.95 mm    23.84 mm  
   3.50 GeV   7.023E-03  9.504E-07    1.59 m     57.25 mm    25.93 mm  
   3.75 GeV   6.950E-03  8.914E-07    1.75 m     61.34 mm    28.00 mm  
   4.00 GeV   6.890E-03  8.395E-07    1.90 m     65.25 mm    30.03 mm  
   4.50 GeV   6.802E-03  7.524E-07    2.22 m     79.10 mm    34.01 mm  
   5.00 GeV   6.742E-03  6.821E-07    2.53 m     91.12 mm    37.87 mm  
   5.50 GeV   6.704E-03  6.242E-07    2.86 m    101.88 mm    41.59 mm  
   6.00 GeV   6.680E-03  5.756E-07    3.18 m    111.70 mm    45.20 mm  
   6.50 GeV   6.667E-03  5.342E-07    3.50 m    120.77 mm    48.69 mm  
   7.00 GeV   6.662E-03  4.985E-07    3.82 m    129.24 mm    52.06 mm  
   8.00 GeV   6.668E-03  4.401E-07    4.47 m    158.46 mm    58.51 mm  
   9.00 GeV   6.687E-03  3.943E-07    5.11 m    182.99 mm    64.57 mm  
  10.00 GeV   6.715E-03  3.574E-07    5.76 m    204.47 mm    70.30 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  5.5205E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
