 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Be10_Si.txt

 Ion = Beryllium [4] , Mass = 10.0135 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  60.00 MeV   8.632E-01  4.736E-04  183.35 um     7.06 um     2.81 um  
  65.00 MeV   8.082E-01  4.411E-04  209.12 um     7.98 um     3.15 um  
  70.00 MeV   7.597E-01  4.129E-04  236.60 um     8.90 um     3.50 um  
  80.00 MeV   6.785E-01  3.666E-04  296.59 um    12.36 um     4.29 um  
  90.00 MeV   6.135E-01  3.299E-04  363.34 um    15.61 um     5.15 um  
 100.00 MeV   5.606E-01  3.003E-04  436.77 um    18.82 um     6.11 um  
 110.00 MeV   5.170E-01  2.757E-04  516.76 um    22.03 um     7.14 um  
 120.00 MeV   4.804E-01  2.550E-04  603.17 um    25.27 um     8.26 um  
 130.00 MeV   4.495E-01  2.373E-04  695.84 um    28.56 um     9.46 um  
 140.00 MeV   4.229E-01  2.220E-04  794.60 um    31.88 um    10.74 um  
 150.00 MeV   3.999E-01  2.087E-04  899.31 um    35.25 um    12.09 um  
 160.00 MeV   3.798E-01  1.969E-04    1.01 mm    38.67 um    13.52 um  
 170.00 MeV   3.620E-01  1.864E-04    1.13 mm    42.12 um    15.01 um  
 180.00 MeV   3.462E-01  1.771E-04    1.25 mm    45.62 um    16.58 um  
 200.00 MeV   3.191E-01  1.610E-04    1.51 mm    58.75 um    19.91 um  
 225.00 MeV   2.914E-01  1.448E-04    1.86 mm    77.39 um    24.42 um  
 250.00 MeV   2.684E-01  1.316E-04    2.24 mm    94.92 um    29.32 um  
 275.00 MeV   2.485E-01  1.207E-04    2.66 mm   112.06 um    34.59 um  
 300.00 MeV   2.307E-01  1.116E-04    3.11 mm   129.20 um    40.25 um  
 325.00 MeV   2.164E-01  1.038E-04    3.59 mm   146.45 um    46.29 um  
 350.00 MeV   2.039E-01  9.703E-05    4.11 mm   163.81 um    52.70 um  
 375.00 MeV   1.930E-01  9.114E-05    4.65 mm   181.32 um    59.45 um  
 400.00 MeV   1.834E-01  8.595E-05    5.22 mm   199.02 um    66.56 um  
 450.00 MeV   1.671E-01  7.722E-05    6.45 mm   265.23 um    81.78 um  
 500.00 MeV   1.538E-01  7.016E-05    7.79 mm   327.19 um    98.31 um  
 550.00 MeV   1.427E-01  6.432E-05    9.25 mm   387.40 um   116.10 um  
 600.00 MeV   1.333E-01  5.942E-05   10.81 mm   446.95 um   135.11 um  
 650.00 MeV   1.253E-01  5.523E-05   12.48 mm   506.36 um   155.30 um  
