 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\B8_Si.txt

 Ion = Boron [5] , Mass = 8.0246 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   1.769E+00  9.972E-04   54.11 um     1.96 um     1.06 um  
  35.00 MeV   1.678E+00  9.343E-04   60.36 um     2.16 um     1.16 um  
  37.50 MeV   1.596E+00  8.793E-04   66.94 um     2.36 um     1.25 um  
  40.00 MeV   1.521E+00  8.307E-04   73.84 um     2.57 um     1.35 um  
  45.00 MeV   1.391E+00  7.487E-04   88.64 um     3.34 um     1.57 um  
  50.00 MeV   1.281E+00  6.822E-04  104.77 um     4.06 um     1.80 um  
  55.00 MeV   1.188E+00  6.270E-04  122.22 um     4.78 um     2.05 um  
  60.00 MeV   1.107E+00  5.805E-04  141.00 um     5.49 um     2.33 um  
  65.00 MeV   1.038E+00  5.407E-04  161.08 um     6.21 um     2.61 um  
  70.00 MeV   9.769E-01  5.062E-04  182.46 um     6.93 um     2.92 um  
  80.00 MeV   8.759E-01  4.495E-04  229.01 um     9.61 um     3.59 um  
  90.00 MeV   7.956E-01  4.047E-04  280.60 um    12.12 um     4.33 um  
 100.00 MeV   7.302E-01  3.684E-04  337.09 um    14.58 um     5.13 um  
 110.00 MeV   6.759E-01  3.383E-04  398.39 um    17.02 um     6.00 um  
 120.00 MeV   6.301E-01  3.130E-04  464.37 um    19.48 um     6.94 um  
 130.00 MeV   5.907E-01  2.913E-04  534.95 um    21.96 um     7.94 um  
 140.00 MeV   5.566E-01  2.726E-04  610.04 um    24.48 um     8.99 um  
 150.00 MeV   5.266E-01  2.563E-04  689.57 um    27.02 um    10.11 um  
 160.00 MeV   5.001E-01  2.418E-04  773.47 um    29.60 um    11.29 um  
 170.00 MeV   4.764E-01  2.290E-04  861.69 um    32.22 um    12.53 um  
 180.00 MeV   4.550E-01  2.175E-04  954.17 um    34.88 um    13.82 um  
 200.00 MeV   4.183E-01  1.978E-04    1.15 mm    44.88 um    16.57 um  
 225.00 MeV   3.810E-01  1.779E-04    1.42 mm    59.14 um    20.32 um  
 250.00 MeV   3.506E-01  1.618E-04    1.72 mm    72.60 um    24.39 um  
 275.00 MeV   3.250E-01  1.484E-04    2.03 mm    85.75 um    28.78 um  
 300.00 MeV   3.033E-01  1.372E-04    2.38 mm    98.81 um    33.47 um  
 325.00 MeV   2.846E-01  1.276E-04    2.74 mm   111.89 um    38.47 um  
 350.00 MeV   2.684E-01  1.193E-04    3.13 mm   125.06 um    43.76 um  
 375.00 MeV   2.542E-01  1.121E-04    3.55 mm   138.34 um    49.33 um  
