 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 18, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\23Ne_Si.txt

 Ion = Neon [10] , Mass = 22.9945 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  70.00 MeV   6.939E+00  5.083E-03   38.29 um     1.21 um     7397 A   
  80.00 MeV   6.550E+00  4.523E-03   44.68 um     1.52 um     7952 A   
  90.00 MeV   6.195E+00  4.080E-03   51.44 um     1.80 um     8530 A   
 100.00 MeV   5.871E+00  3.719E-03   58.58 um     2.07 um     9135 A   
 110.00 MeV   5.577E+00  3.420E-03   66.10 um     2.33 um     9767 A   
 120.00 MeV   5.308E+00  3.168E-03   74.02 um     2.59 um     1.04 um  
 130.00 MeV   5.062E+00  2.952E-03   82.32 um     2.85 um     1.11 um  
 140.00 MeV   4.837E+00  2.765E-03   91.03 um     3.11 um     1.18 um  
 150.00 MeV   4.630E+00  2.602E-03  100.13 um     3.38 um     1.26 um  
 160.00 MeV   4.440E+00  2.458E-03  109.62 um     3.64 um     1.34 um  
 170.00 MeV   4.264E+00  2.329E-03  119.52 um     3.91 um     1.42 um  
 180.00 MeV   4.101E+00  2.214E-03  129.82 um     4.18 um     1.50 um  
 200.00 MeV   3.809E+00  2.016E-03  151.61 um     5.21 um     1.68 um  
 225.00 MeV   3.498E+00  1.816E-03  181.11 um     6.69 um     1.92 um  
 250.00 MeV   3.234E+00  1.654E-03  213.13 um     8.09 um     2.18 um  
 275.00 MeV   3.007E+00  1.519E-03  247.66 um     9.47 um     2.46 um  
 300.00 MeV   2.811E+00  1.405E-03  284.69 um    10.84 um     2.76 um  
 325.00 MeV   2.639E+00  1.308E-03  324.22 um    12.22 um     3.08 um  
 350.00 MeV   2.488E+00  1.224E-03  366.24 um    13.61 um     3.42 um  
 375.00 MeV   2.354E+00  1.151E-03  410.73 um    15.02 um     3.78 um  
 400.00 MeV   2.235E+00  1.086E-03  457.67 um    16.44 um     4.16 um  
 450.00 MeV   2.032E+00  9.776E-04  558.73 um    21.83 um     4.97 um  
 500.00 MeV   1.867E+00  8.893E-04  669.30 um    26.90 um     5.86 um  
 550.00 MeV   1.732E+00  8.163E-04  789.04 um    31.84 um     6.82 um  
 600.00 MeV   1.621E+00  7.548E-04  917.56 um    36.72 um     7.84 um  
 650.00 MeV   1.529E+00  7.023E-04    1.05 mm    41.56 um     8.93 um  
 700.00 MeV   1.451E+00  6.569E-04    1.20 mm    46.37 um    10.08 um  
 800.00 MeV   1.306E+00  5.823E-04    1.51 mm    64.22 um    12.55 um  
 900.00 MeV   1.191E+00  5.235E-04    1.86 mm    80.81 um    15.26 um  
   1.00 GeV   1.096E+00  4.759E-04    2.23 mm    96.96 um    18.19 um  
   1.10 GeV   1.017E+00  4.365E-04    2.64 mm   112.97 um    21.35 um  
   1.20 GeV   9.502E-01  4.034E-04    3.08 mm   129.00 um    24.73 um  
   1.30 GeV   8.928E-01  3.752E-04    3.55 mm   145.13 um    28.32 um  
   1.40 GeV   8.430E-01  3.507E-04    4.04 mm   161.40 um    32.11 um  
   1.50 GeV   7.993E-01  3.294E-04    4.57 mm   177.83 um    36.10 um  
   1.60 GeV   7.606E-01  3.107E-04    5.12 mm   194.43 um    40.29 um  
   1.70 GeV   7.262E-01  2.940E-04    5.70 mm   211.20 um    44.66 um  
   1.80 GeV   6.953E-01  2.791E-04    6.31 mm   228.16 um    49.23 um  
   2.00 GeV   6.422E-01  2.535E-04    7.60 mm   292.50 um    58.89 um  
   2.25 GeV   5.883E-01  2.277E-04    9.35 mm   383.89 um    71.93 um  
   2.50 GeV   5.445E-01  2.069E-04   11.25 mm   469.37 um    85.98 um  
   2.75 GeV   5.083E-01  1.896E-04   13.30 mm   552.05 um   100.99 um  
   3.00 GeV   4.777E-01  1.751E-04   15.48 mm   633.30 um   116.90 um  
   3.25 GeV   4.517E-01  1.627E-04   17.80 mm   713.78 um   133.67 um  
   3.50 GeV   4.291E-01  1.521E-04   20.25 mm   793.88 um   151.24 um  
   3.75 GeV   4.095E-01  1.428E-04   22.82 mm   873.78 um   169.57 um  
   4.00 GeV   3.922E-01  1.346E-04   25.51 mm   953.61 um   188.64 um  
   4.50 GeV   3.631E-01  1.208E-04   31.21 mm     1.25 mm   228.80 um  
   5.00 GeV   3.397E-01  1.097E-04   37.35 mm     1.52 mm   271.45 um  
   5.50 GeV   3.204E-01  1.005E-04   43.88 mm     1.78 mm   316.32 um  
   6.00 GeV   3.042E-01  9.275E-05   50.78 mm     2.03 mm   363.21 um  
   6.50 GeV   2.905E-01  8.617E-05   58.02 mm     2.28 mm   411.92 um  
   7.00 GeV   2.787E-01  8.049E-05   65.59 mm     2.52 mm   462.25 um  
   8.00 GeV   2.596E-01  7.118E-05   81.61 mm     3.39 mm   567.23 um  
