 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Na23.txt

 Ion = Sodium [11] , Mass = 22.9897 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.50 MeV   5.493E+00  1.418E-01    1.91 um     2511 A      2926 A   
   1.60 MeV   5.722E+00  1.352E-01    1.98 um     2536 A      2976 A   
   1.70 MeV   5.939E+00  1.292E-01    2.05 um     2559 A      3022 A   
   1.80 MeV   6.145E+00  1.238E-01    2.12 um     2579 A      3065 A   
   2.00 MeV   6.526E+00  1.143E-01    2.25 um     2618 A      3142 A   
   2.25 MeV   6.950E+00  1.045E-01    2.40 um     2661 A      3224 A   
   2.50 MeV   7.324E+00  9.634E-02    2.55 um     2697 A      3296 A   
   2.75 MeV   7.653E+00  8.949E-02    2.69 um     2729 A      3358 A   
   3.00 MeV   7.944E+00  8.364E-02    2.82 um     2757 A      3415 A   
   3.25 MeV   8.202E+00  7.856E-02    2.96 um     2782 A      3465 A   
   3.50 MeV   8.430E+00  7.412E-02    3.08 um     2805 A      3512 A   
   3.75 MeV   8.633E+00  7.019E-02    3.21 um     2826 A      3555 A   
   4.00 MeV   8.814E+00  6.670E-02    3.33 um     2845 A      3594 A   
   4.50 MeV   9.118E+00  6.073E-02    3.56 um     2890 A      3666 A   
   5.00 MeV   9.362E+00  5.583E-02    3.79 um     2930 A      3730 A   
   5.50 MeV   9.558E+00  5.171E-02    4.02 um     2967 A      3789 A   
   6.00 MeV   9.717E+00  4.820E-02    4.24 um     3002 A      3842 A   
   6.50 MeV   9.846E+00  4.517E-02    4.46 um     3034 A      3892 A   
   7.00 MeV   9.950E+00  4.253E-02    4.67 um     3065 A      3938 A   
   8.00 MeV   1.011E+01  3.814E-02    5.10 um     3151 A      4023 A   
   9.00 MeV   1.021E+01  3.462E-02    5.52 um     3231 A      4101 A   
  10.00 MeV   1.027E+01  3.174E-02    5.94 um     3307 A      4173 A   
  11.00 MeV   1.031E+01  2.934E-02    6.36 um     3379 A      4241 A   
  12.00 MeV   1.034E+01  2.729E-02    6.77 um     3449 A      4304 A   
  13.00 MeV   1.034E+01  2.553E-02    7.19 um     3517 A      4365 A   
  14.00 MeV   1.034E+01  2.400E-02    7.60 um     3583 A      4424 A   
  15.00 MeV   1.033E+01  2.266E-02    8.02 um     3647 A      4481 A   
  16.00 MeV   1.031E+01  2.146E-02    8.43 um     3710 A      4536 A   
  17.00 MeV   1.029E+01  2.040E-02    8.85 um     3772 A      4589 A   
  18.00 MeV   1.026E+01  1.944E-02    9.27 um     3833 A      4642 A   
  20.00 MeV   1.020E+01  1.778E-02   10.11 um     4041 A      4743 A   
  22.50 MeV   1.011E+01  1.610E-02   11.16 um     4340 A      4865 A   
  25.00 MeV   1.000E+01  1.472E-02   12.23 um     4625 A      4984 A   
  27.50 MeV   9.896E+00  1.357E-02   13.31 um     4899 A      5100 A   
  30.00 MeV   9.782E+00  1.260E-02   14.40 um     5163 A      5214 A   
  32.50 MeV   9.665E+00  1.177E-02   15.51 um     5420 A      5326 A   
  35.00 MeV   9.546E+00  1.104E-02   16.63 um     5671 A      5438 A   
  37.50 MeV   9.427E+00  1.041E-02   17.76 um     5917 A      5549 A   
  40.00 MeV   9.307E+00  9.846E-03   18.91 um     6159 A      5659 A   
  45.00 MeV   9.069E+00  8.896E-03   21.25 um     7035 A      5880 A   
  50.00 MeV   8.828E+00  8.122E-03   23.66 um     7853 A      6101 A   
  55.00 MeV   8.509E+00  7.479E-03   26.14 um     8639 A      6326 A   
  60.00 MeV   8.250E+00  6.936E-03   28.71 um     9409 A      6555 A   
  65.00 MeV   8.006E+00  6.470E-03   31.35 um     1.02 um     6788 A   
  70.00 MeV   7.773E+00  6.066E-03   34.08 um     1.09 um     7026 A   
  80.00 MeV   7.341E+00  5.399E-03   39.78 um     1.36 um     7519 A   
  90.00 MeV   6.949E+00  4.871E-03   45.81 um     1.61 um     8036 A   
 100.00 MeV   6.593E+00  4.442E-03   52.17 um     1.85 um     8577 A   
 110.00 MeV   6.271E+00  4.085E-03   58.87 um     2.09 um     9144 A   
 120.00 MeV   5.978E+00  3.785E-03   65.90 um     2.32 um     9738 A   
 130.00 MeV   5.711E+00  3.527E-03   73.27 um     2.55 um     1.04 um  
 140.00 MeV   5.468E+00  3.304E-03   80.97 um     2.78 um     1.10 um  
 150.00 MeV   5.244E+00  3.109E-03   89.01 um     3.01 um     1.17 um  
 160.00 MeV   5.039E+00  2.937E-03   97.39 um     3.24 um     1.24 um  
 170.00 MeV   4.850E+00  2.784E-03  106.10 um     3.47 um     1.31 um  
 180.00 MeV   4.676E+00  2.646E-03  115.14 um     3.71 um     1.39 um  
 200.00 MeV   4.365E+00  2.411E-03  134.20 um     4.60 um     1.55 um  
 225.00 MeV   4.035E+00  2.171E-03  159.86 um     5.87 um     1.76 um  
 250.00 MeV   3.757E+00  1.977E-03  187.52 um     7.07 um     1.99 um  
 275.00 MeV   3.518E+00  1.816E-03  217.13 um     8.24 um     2.23 um  
 300.00 MeV   3.312E+00  1.681E-03  248.68 um     9.38 um     2.49 um  
 325.00 MeV   3.132E+00  1.565E-03  282.11 um    10.52 um     2.77 um  
 350.00 MeV   2.973E+00  1.465E-03  317.39 um    11.67 um     3.06 um  
 375.00 MeV   2.832E+00  1.377E-03  354.50 um    12.81 um     3.36 um  
 400.00 MeV   2.706E+00  1.300E-03  393.39 um    13.96 um     3.67 um  
 450.00 MeV   2.488E+00  1.170E-03  476.41 um    18.28 um     4.34 um  
