 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\F15_Si.txt

 Ion = Fluorine [9] , Mass = 15.018 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 MeV   1.375E+00  6.272E-04  679.82 um    25.79 um     7.14 um  
 400.00 MeV   1.311E+00  5.919E-04  760.00 um    28.22 um     7.93 um  
 450.00 MeV   1.197E+00  5.324E-04  931.90 um    37.35 um     9.62 um  
 500.00 MeV   1.102E+00  4.841E-04    1.12 mm    45.91 um    11.44 um  
 550.00 MeV   1.022E+00  4.443E-04    1.32 mm    54.25 um    13.41 um  
 600.00 MeV   9.541E-01  4.107E-04    1.54 mm    62.53 um    15.51 um  
 650.00 MeV   8.959E-01  3.820E-04    1.77 mm    70.80 um    17.74 um  
 700.00 MeV   8.452E-01  3.573E-04    2.02 mm    79.11 um    20.10 um  
 800.00 MeV   7.613E-01  3.166E-04    2.56 mm   109.93 um    25.20 um  
 900.00 MeV   6.947E-01  2.845E-04    3.15 mm   138.48 um    30.79 um  
   1.00 GeV   6.404E-01  2.586E-04    3.80 mm   166.17 um    36.85 um  
   1.10 GeV   5.953E-01  2.371E-04    4.49 mm   193.56 um    43.35 um  
   1.20 GeV   5.571E-01  2.191E-04    5.24 mm   220.91 um    50.29 um  
   1.30 GeV   5.245E-01  2.037E-04    6.04 mm   248.35 um    57.64 um  
   1.40 GeV   4.962E-01  1.904E-04    6.88 mm   275.94 um    65.38 um  
   1.50 GeV   4.715E-01  1.788E-04    7.77 mm   303.72 um    73.52 um  
   1.60 GeV   4.497E-01  1.686E-04    8.71 mm   331.71 um    82.02 um  
   1.70 GeV   4.302E-01  1.595E-04    9.69 mm   359.91 um    90.89 um  
