 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\N11_Si.txt

 Ion = Nitrogen [7] , Mass = 11.0261 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  45.00 MeV   3.269E+00  1.910E-03   43.63 um     1.53 um     8175 A   
  50.00 MeV   3.060E+00  1.741E-03   50.44 um     1.81 um     9022 A   
  55.00 MeV   2.874E+00  1.601E-03   57.70 um     2.09 um     9919 A   
  60.00 MeV   2.710E+00  1.483E-03   65.41 um     2.37 um     1.09 um  
  65.00 MeV   2.562E+00  1.382E-03   73.58 um     2.65 um     1.19 um  
  70.00 MeV   2.430E+00  1.295E-03   82.21 um     2.93 um     1.29 um  
  80.00 MeV   2.204E+00  1.151E-03  100.81 um     3.96 um     1.52 um  
  90.00 MeV   2.017E+00  1.037E-03  121.24 um     4.92 um     1.76 um  
 100.00 MeV   1.861E+00  9.443E-04  143.46 um     5.86 um     2.03 um  
 110.00 MeV   1.729E+00  8.677E-04  167.47 um     6.79 um     2.32 um  
 120.00 MeV   1.616E+00  8.030E-04  193.23 um     7.73 um     2.62 um  
 130.00 MeV   1.518E+00  7.478E-04  220.73 um     8.68 um     2.95 um  
 140.00 MeV   1.432E+00  7.000E-04  249.93 um     9.64 um     3.30 um  
 150.00 MeV   1.357E+00  6.582E-04  280.82 um    10.61 um     3.66 um  
 160.00 MeV   1.290E+00  6.214E-04  313.37 um    11.60 um     4.05 um  
 170.00 MeV   1.230E+00  5.886E-04  347.56 um    12.60 um     4.45 um  
 180.00 MeV   1.176E+00  5.593E-04  383.38 um    13.61 um     4.87 um  
 200.00 MeV   1.082E+00  5.089E-04  459.75 um    17.44 um     5.77 um  
 225.00 MeV   9.858E-01  4.579E-04  564.01 um    22.92 um     6.98 um  
 250.00 MeV   9.069E-01  4.166E-04  677.89 um    28.10 um     8.30 um  
 275.00 MeV   8.407E-01  3.824E-04  801.20 um    33.16 um     9.73 um  
 300.00 MeV   7.845E-01  3.536E-04  933.78 um    38.19 um    11.26 um  
 325.00 MeV   7.362E-01  3.290E-04    1.08 mm    43.23 um    12.88 um  
 350.00 MeV   6.941E-01  3.078E-04    1.23 mm    48.31 um    14.60 um  
 375.00 MeV   6.571E-01  2.892E-04    1.39 mm    53.43 um    16.42 um  
 400.00 MeV   6.243E-01  2.728E-04    1.55 mm    58.60 um    18.33 um  
 450.00 MeV   5.687E-01  2.453E-04    1.92 mm    78.00 um    22.42 um  
 500.00 MeV   5.233E-01  2.230E-04    2.31 mm    96.18 um    26.87 um  
 550.00 MeV   4.855E-01  2.045E-04    2.74 mm   113.85 um    31.65 um  
 600.00 MeV   4.536E-01  1.890E-04    3.20 mm   131.34 um    36.77 um  
 650.00 MeV   4.261E-01  1.758E-04    3.69 mm   148.79 um    42.21 um  
 700.00 MeV   4.023E-01  1.644E-04    4.21 mm   166.31 um    47.96 um  
 800.00 MeV   3.630E-01  1.456E-04    5.33 mm   230.99 um    60.36 um  
 900.00 MeV   3.319E-01  1.308E-04    6.57 mm   290.75 um    73.92 um  
   1.00 GeV   3.066E-01  1.188E-04    7.92 mm   348.54 um    88.56 um  
   1.10 GeV   2.857E-01  1.089E-04    9.38 mm   405.52 um   104.24 um  
   1.20 GeV   2.680E-01  1.006E-04   10.94 mm   462.23 um   120.90 um  
   1.30 GeV   2.529E-01  9.353E-05   12.59 mm   518.93 um   138.50 um  
   1.40 GeV   2.398E-01  8.741E-05   14.34 mm   575.77 um   156.99 um  
   1.50 GeV   2.284E-01  8.207E-05   16.18 mm   632.82 um   176.34 um  
   1.60 GeV   2.184E-01  7.737E-05   18.11 mm   690.12 um   196.50 um  
   1.70 GeV   2.095E-01  7.319E-05   20.12 mm   747.66 um   217.44 um  
   1.80 GeV   2.015E-01  6.946E-05   22.22 mm   805.45 um   239.12 um  
   2.00 GeV   1.878E-01  6.307E-05   26.65 mm     1.02 mm   284.61 um  
   2.25 GeV   1.741E-01  5.662E-05   32.60 mm     1.33 mm   345.11 um  
   2.50 GeV   1.630E-01  5.140E-05   39.00 mm     1.61 mm   409.25 um  
   2.75 GeV   1.538E-01  4.709E-05   45.80 mm     1.88 mm   476.66 um  
   3.00 GeV   1.462E-01  4.347E-05   52.98 mm     2.14 mm   546.99 um  
   3.25 GeV   1.397E-01  4.039E-05   60.51 mm     2.39 mm   619.95 um  
   3.50 GeV   1.342E-01  3.773E-05   68.38 mm     2.64 mm   695.27 um  
   3.75 GeV   1.293E-01  3.541E-05   76.55 mm     2.89 mm   772.69 um  
   4.00 GeV   1.251E-01  3.337E-05   85.02 mm     3.13 mm   852.00 um  
   4.50 GeV   1.181E-01  2.993E-05  102.73 mm     4.01 mm     1.02 mm  
   5.00 GeV   1.126E-01  2.716E-05  121.41 mm     4.81 mm     1.18 mm  
   5.50 GeV   1.081E-01  2.488E-05  140.94 mm     5.55 mm     1.36 mm  
   6.00 GeV   1.043E-01  2.296E-05  161.22 mm     6.26 mm     1.53 mm  
   6.50 GeV   1.012E-01  2.132E-05  182.18 mm     6.93 mm     1.71 mm  
   7.00 GeV   9.862E-02  1.991E-05  203.73 mm     7.58 mm     1.89 mm  
   8.00 GeV   9.447E-02  1.760E-05  248.36 mm     9.87 mm     2.26 mm  
   9.00 GeV   9.136E-02  1.578E-05  294.73 mm    11.86 mm     2.63 mm  
  10.00 GeV   8.898E-02  1.431E-05  342.51 mm    13.66 mm     2.99 mm  
-----------------------------------------------------------
